customer_id,order_id,product_id,order_date,quantity,unit_price,total_value
C00346,O000976,P0067,2024-01-01 08:30:00,1,16.43,16.43
C00482,O003363,P0156,2024-01-01 12:03:00,3,51.6,154.8
C00443,O001979,P0054,2024-01-01 12:57:00,4,18.2,72.8
C00296,O001879,P0137,2024-01-01 14:49:00,1,26.62,26.62
C00348,O002952,P0055,2024-01-01 19:43:00,1,15.91,15.91
C00527,O000422,P0153,2024-01-01 21:18:00,1,8.56,8.56
C00395,O001249,P0148,2024-01-02 10:04:00,1,17.81,17.81
C00554,O001295,P0139,2024-01-02 15:35:00,2,62.71,125.42
C00442,O001764,P0072,2024-01-02 15:43:00,1,10.55,10.55
C00442,O001764,P0043,2024-01-02 15:43:00,2,13.11,26.22
C00442,O001764,P0044,2024-01-02 15:43:00,3,23.77,71.31
C00442,O001764,P0213,2024-01-02 15:43:00,4,22.32,89.28
C00578,O003334,P0190,2024-01-02 17:53:00,3,45.27,135.81
C00578,O003334,P0204,2024-01-02 17:53:00,2,26.26,52.52
C00578,O003334,P0053,2024-01-02 17:53:00,1,9.35,9.35
C00578,O003334,P0067,2024-01-02 17:53:00,3,15.77,47.31
C00024,O001238,P0220,2024-01-02 21:39:00,3,14.44,43.32
C00024,O001238,P0067,2024-01-02 21:39:00,2,13.95,27.9
C00024,O001238,P0100,2024-01-02 21:39:00,5,13.1,65.5
C00282,O002611,P0117,2024-01-03 15:26:00,1,23.64,23.64
C00282,O002611,P0119,2024-01-03 15:26:00,3,51.25,153.75
C00013,O000544,P0044,2024-01-03 20:06:00,3,24.57,73.71
C00217,O002414,P0025,2024-01-03 20:32:00,3,15.76,47.28
C00213,O002131,P0083,2024-01-03 21:20:00,2,15.79,31.58
C00213,O002131,P0192,2024-01-03 21:20:00,1,19.94,19.94
C00213,O002131,P0137,2024-01-03 21:20:00,2,22.8,45.6
C00213,O002131,P0032,2024-01-03 21:20:00,1,16.49,16.49
C00504,O003394,P0097,2024-01-03 22:50:00,1,9.58,9.58
C00145,O003157,P0103,2024-01-04 14:49:00,3,16.02,48.06
C00182,O000786,P0076,2024-01-04 15:59:00,1,29.18,29.18
C00050,O000332,P0220,2024-01-04 19:16:00,5,15.48,77.4
C00050,O000332,P0075,2024-01-04 19:16:00,4,23.7,94.8
C00407,O002460,P0153,2024-01-05 08:40:00,1,7.15,7.15
C00407,O002460,P0174,2024-01-05 08:40:00,3,9.99,29.97
C00573,O000861,P0067,2024-01-05 12:53:00,1,18.24,18.24
C00120,O002973,P0129,2024-01-05 21:17:00,1,14.32,14.32
C00120,O002973,P0172,2024-01-05 21:17:00,1,25.05,25.05
C00120,O002973,P0044,2024-01-05 21:17:00,2,25.35,50.7
C00527,O003201,P0184,2024-01-05 22:25:00,1,38.42,38.42
C00454,O002716,P0004,2024-01-06 10:00:00,1,29.08,29.08
C00028,O002480,P0028,2024-01-06 12:15:00,4,26.27,105.08
C00578,O002070,P0185,2024-01-06 13:01:00,3,24.25,72.75
C00531,O000970,P0080,2024-01-07 12:02:00,1,15.83,15.83
C00290,O002044,P0062,2024-01-07 13:27:00,2,17.18,34.36
C00290,O002044,P0074,2024-01-07 13:27:00,3,25.38,76.14
C00374,O001313,P0065,2024-01-07 17:53:00,1,25.72,25.72
C00264,O001264,P0076,2024-01-07 18:53:00,1,28.65,28.65
C00120,O002818,P0032,2024-01-08 08:24:00,2,15.38,30.76
C00120,O002818,P0129,2024-01-08 08:24:00,2,14.17,28.34
C00330,O001884,P0213,2024-01-08 09:14:00,1,21.84,21.84
C00330,O001884,P0025,2024-01-08 09:14:00,4,16.26,65.04
C00330,O001884,P0175,2024-01-08 09:14:00,1,9.68,9.68
C00134,O000645,P0049,2024-01-08 10:56:00,1,27.44,27.44
C00134,O000645,P0188,2024-01-08 10:56:00,1,10.52,10.52
C00235,O003238,P0168,2024-01-08 19:14:00,4,26.1,104.4
C00235,O003238,P0022,2024-01-08 19:14:00,1,12.89,12.89
C00235,O003238,P0188,2024-01-08 19:14:00,1,10.78,10.78
C00235,O003238,P0107,2024-01-08 19:14:00,1,11.26,11.26
C00355,O001159,P0087,2024-01-08 19:40:00,2,16.05,32.1
C00384,O001160,P0002,2024-01-09 15:13:00,1,11.97,11.97
C00376,O000394,P0010,2024-01-09 18:20:00,4,13.06,52.24
C00278,O002432,P0188,2024-01-10 13:11:00,1,10.54,10.54
C00450,O001717,P0215,2024-01-10 13:30:00,2,16.27,32.54
C00548,O003063,P0166,2024-01-10 13:51:00,2,12.02,24.04
C00213,O001847,P0168,2024-01-10 14:55:00,1,26.99,26.99
C00426,O000600,P0163,2024-01-10 15:56:00,2,60.91,121.82
C00400,O001955,P0025,2024-01-10 16:38:00,1,17.65,17.65
